"line","YDHPL","PLHA","DF","SW100","TSW","POM"
"DAN_049",836.872093816717,26.8533541013747,31.4683862268405,32.9780316098782,133.833185951381,6.16636212521134
"DAN_050",806.902102734775,43.831369040851,31.3121463381105,31.6375096160863,161.685902508337,10.7392785684363
"DAN_051",795.577964005367,44.1396926667604,32.2235608805528,35.1085108948328,180.851470849353,9.71657907821836
"DAN_052",736.328318108501,38.6890971902348,31.9070209690926,27.611431676532,133.950868666058,9.6630366653838
"DAN_053",864.49492058602,37.7980575348002,30.9398240877293,29.4325611189089,172.703110431723,8.66085228192066
"DAN_056",765.414331721317,45.5655770615803,31.7015835909438,32.8419794130346,185.322868408969,8.59469766373566
"DAN_058",1097.02959624457,40.9502701743948,29.9445788612367,31.2910347324831,176.78657535349,8.53643360844451
"DAN_060",669.76600514082,40.9147253061327,31.3372035764678,29.6673245027832,91.1843077165193,9.24309129001476
"DAN_061",907.81179943352,16.7755443049527,30.8070366570079,28.0542768638863,90.0746285677773,3.80734883836714
"DAN_062",851.22610733356,46.5579771697746,31.3191646554114,31.3461992357433,234.779854290123,8.60218013640683
