"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"DAB_615",1963.18870671287,1839.04585445301,46.9474564592566,27.7478679494503,60.2787171227271,43.1222312132774,471.888092263632
"DAB_616",2152.20423266764,1200.35882675332,38.9500776505986,35.8797955249717,69.6541002520005,38.6009542133518,384.968192119382
"DAB_617",2088.35886475274,1797.13139953945,51.9919313323661,28.5768637944839,58.8320712992979,39.7212278133221,588.262344060383
"DAB_618",2226.19464822834,1779.03270393019,48.4450071265035,28.8567813286766,58.0908573488526,37.461039601655,573.990788640196
"DAB_619",2454.14065746517,1344.27047385315,38.9443665484028,29.1331421116669,59.4778459372442,42.5590251070354,425.715758943764
"DAB_620",2028.22275844138,1505.2572537896,46.530097423014,28.7978779712594,59.4372402897721,37.3399262916846,493.023970222612
"DAB_621",2167.8924637461,1835.46594408438,51.3210046255052,29.4514428996981,61.1266906651324,43.330269148718,588.70294898767
"DAB_622",2104.28801015914,1804.21220171606,50.5735616292202,29.3701564661113,60.2859770804031,42.3392158946351,565.260953209205
"DAB_624",2067.67491556619,2015.89870952415,59.3278006471217,29.24734134581,61.4062024791721,43.1511276901184,653.915807110446
"DAB_625",2195.95267919896,1924.23019929044,49.3506990094168,29.9282310672474,60.8186796981107,41.0358062980463,583.462092772643
"DAB_628",2243.12614923066,1774.54812200245,49.6965533723938,29.2081178920851,62.1410240717881,40.9862956547613,602.194834927076
"DAB_629",2202.85235206416,2062.70823397125,53.5749807393405,29.2721159269371,61.479895972565,44.2695764477373,641.434363175977
"DAB_630",2232.91463319673,1986.16838428451,49.5390348961281,30.1398786853213,61.1710315229383,42.2722099829061,616.514115742336
"DAB_631",2046.83718274695,1464.23243035293,45.3623640130144,27.9843061101597,58.7233835587989,38.9309383111601,478.383868565237
"DAB_633",2392.98923857765,1620.93099816031,43.0193183982888,27.9697501050673,58.8604321229923,40.4534831397442,482.512727013716
"DAB_634",1696.44253443882,1521.38472875531,53.7181560160164,28.9225249146854,58.1214690741855,37.4791659276625,526.186422328875
"DAB_900",2069.33299320748,1848.12382204647,50.4937049773014,28.9994580795902,59.5545504292843,38.0690206721031,551.663736331476
"DAB_901",3028.24155406239,1062.39090865822,30.6942242861729,28.5995508802779,59.9606077190832,39.5670527069049,385.483701207126
"DAB_902",2246.01774687453,1677.56252248913,49.6822536679094,28.2518344088955,58.939070375988,41.4005555528637,590.157664424484
"DAB_903",2277.27498689872,1840.21843660663,50.2382552866498,27.6136391868518,58.8935521957416,45.5562949917074,619.060241952788
"DAB_904",2250.51837450871,1834.7249769972,50.781838791156,27.7975094803514,58.1333918776869,38.4373105479084,602.062896369255
"DAB_905",2071.75303644072,1732.28831479684,47.2201184437148,29.3978207322764,60.1570993972512,35.9256977014615,505.76991060494
"DAB_906",2257.60486002227,1512.8822975129,44.4900877357343,28.4251105685798,59.2133097560333,42.6203547034245,503.192336108729
"DAB_907",1834.88393134625,1357.88280918712,49.758935250784,30.3677058381242,62.8059316652363,36.8367509534587,508.964010043252
"DAB_909",2092.96643612935,1815.88530440614,52.1129262709664,27.8704042731294,58.3014832122879,41.8854545751546,591.93900309345
"DAB_910",2428.00263207374,1950.88563867875,49.8725973553958,29.8138167600991,61.4394795339964,42.9271171311998,649.033675016599
"DAB_911",1725.796630723,1398.4670551946,51.1356346499594,27.662352372999,57.7449932632533,39.1672681505468,483.953282967601
"DAB_912",1991.55629539411,1330.98814031547,45.4822094291858,28.6825626792811,61.7617909402539,40.6748489000255,457.391184818333
"DAB_913",2124.8215313483,1103.2187222834,37.2575424585652,28.6912858855081,61.4749146317384,36.090402045323,380.050975944732
"DAB_914",2142.54246188615,1716.84396354359,51.267687652712,28.2809781758489,58.4661784956252,43.8996208078092,594.340878780239
"DAB_915",1908.77848620798,1579.77168561739,54.7717180130534,27.9869544675985,56.305833586087,37.1326062012905,559.299618505931
"DAB_916",1960.08905812421,1558.73572826296,51.3976280238769,28.8183965444788,61.4690664035174,44.2987279932998,539.002876594447
"DAB_917",2344.99350652886,1895.17430225133,48.1300650645407,28.8863756497515,62.107187799636,44.7927844933416,605.47158909223
"DAB_918",1793.83113471872,1424.5888277968,50.4952469432213,27.6289303813923,59.4332183983331,40.8604120277421,481.614219185401
"DAB_919",2002.08405721137,1558.42183010015,50.0155374926027,28.0134843643643,59.7864935372927,36.6013636107706,521.195534546058
"DAB_920",1920.49273747959,1368.7473321408,46.1214160961526,27.9246939752433,57.9382966053289,39.2707263377547,456.90331556283
"DAB_921",2041.13753639178,1394.94512318818,45.0243087525012,29.6470993573532,59.6676369266603,34.9218164856662,476.003122735137
"DAB_923",2348.18178812811,1362.56212734498,39.2722799100899,28.9370886517713,60.6694072731437,38.2533429307316,444.590567861631
"DAB_924",2877.5204190622,1113.2730440882,31.9194123036612,30.2082632386763,63.9183858671211,38.9945615591299,373.07794577214
