"line","YDHPL","YDHA","PLHA","SW100","TSW","POM"
"DAB_258",754.111587758255,885.444403013858,31.93373192455,21.7822769437339,146.87234895208,12.4836097563542
"DAB_267",886.721550789441,1007.72718735431,26.6232672046784,25.578875956106,127.21946758378,9.99431722830998
"DAB_277",887.424166911316,1052.57497336267,36.0953667703511,27.3121526032106,226.871990771268,13.869453523525
"DAB_295",1018.46128063026,988.938479422089,22.7189095992959,26.2147175345044,132.83176832839,11.1233393630356
"DAB_302",941.230987513792,993.676545581618,27.0460846071397,27.6286632400602,158.359011221739,13.4049328382855
"DAB_317",901.478860013801,1055.74173950515,28.0667674181882,24.4243883448789,170.56310003204,12.465239564093
"DAB_344",729.752643873421,989.808731116467,28.2431523825941,22.7232070699088,118.619634128166,10.4252486482091
"DAB_353",603.291056469977,736.600894180996,31.5512463565715,19.6170215235583,102.733197800901,9.78961410161055
"DAB_366",813.766019963877,972.386858295105,21.5468126714404,22.4638116322597,99.3688027318997,9.10414580724284
"DAB_374",1024.58043572767,1024.33091525514,21.6269380777922,24.5954907942715,143.196130391194,12.2436946468738
"DAB_380",1074.18161033983,1189.34377618626,23.3653878986526,27.0976645940512,145.222232032311,10.6768525346714
"DAB_384",649.316655309931,799.632258597033,24.6350290633743,22.591436472188,101.615354848457,9.08541799522874
"DAB_396",1024.75641423089,1048.62432306991,29.0778610763389,23.5660189288375,182.87989980697,13.8881919129911
"DAB_398",883.190103918746,867.847869066273,17.5741678301342,23.49814403881,100.013291104807,8.61530901406636
"DAB_402",985.102623589495,1071.91542784793,27.2264536294414,27.5400173306685,136.2703083243,11.6537427792303
"DAB_441",890.845346283483,962.556139401439,29.906405598439,25.947537906274,162.682154450368,13.4778251729732
"DAB_489",1005.17458034944,1063.67671724697,26.8361165765186,22.624771464422,160.594154466845,12.719125207368
"DAB_494",889.004882612874,995.782059923649,33.2296147323146,29.1448238801611,179.142473549874,13.619652250655
"DAB_514",814.815583710232,989.133333526826,27.4292537760898,27.2419487540346,137.474366119657,11.3201453087338
"DAB_520",770.23173422349,972.751454119921,31.3377780289939,24.1576131852988,153.996162449204,11.8749189488672
"DAB_525",892.412952389332,1033.83703255327,21.081839841015,25.7874608297935,111.514475911938,9.3814394429667
"DAB_528",1065.75085415883,1115.20436931912,16.5657126818007,24.1817240211954,88.1934599986929,8.68540701493566
"DAB_534",961.893932940463,1068.51660477081,25.2012734977483,24.8352647708885,150.345478107257,12.1960740236779
"DAB_541",854.114833041753,926.362354607434,29.2689026334392,24.7760813535215,172.457310825836,13.200764884471
"DAB_545",857.374073046719,1047.4637258774,30.7601452805867,24.3415169185386,166.528288330654,12.5224138319852
"DAB_549",853.40885261654,882.895993409164,27.707479142552,25.6068976463135,159.805383319825,12.0541665442435
"DAB_555",914.060644439315,1043.65794469738,32.5516773730352,22.3952171742756,178.802044241321,12.8594841001488
"DAB_568",867.750945923609,1044.49945324204,32.2986800634884,26.2503620537648,185.80630078024,14.991703656787
"DAB_569",764.710611852171,928.767659541819,26.5651857411429,25.217301925143,118.541958174851,10.8785286745942
"DAB_570",642.959569634635,865.804143893047,17.1781484479999,29.5121168269909,60.7487701652923,5.49341900020962
"DAB_571",739.601996994791,808.407068399578,25.6226643916628,24.0011210481228,106.799155988474,9.32485541471917
"DAB_572",607.673760798126,695.78233524996,33.4200660115982,26.9554971149025,98.2063681414665,10.6699258038389
"DAB_573",898.399775778066,1167.6288882004,23.5155409164092,22.5986139056702,117.342735322041,10.5906415538376
"DAB_574",703.475411153425,750.03463910957,31.0709301558378,24.2071080280565,122.794153637722,11.3160985525734
"DAB_575",429.272058911954,600.395842627323,27.9367301759625,18.0643857151455,54.3821371163069,4.94683415570893
"DAB_576",966.186342059631,1132.17951925574,25.7017994591051,29.1550917155188,124.687827876225,10.26400067428
"DAB_577",990.690203205173,1094.35157014415,25.2235648937846,30.5237630791454,136.538091457183,11.6445417256516
"DAB_578",648.480319420539,834.290361890893,31.6172286645806,21.4148886144683,114.264923746583,10.697172012988
"DAB_579",731.879504857627,857.707307982828,24.8062553395088,24.4025910138626,101.120042394014,10.0709152320155
"DAB_580",703.918658613121,775.825740315641,21.665907229181,23.2842812770289,77.5115860550169,7.56811678799295
"DAB_581",764.842095626083,850.672432531072,19.7060679818665,22.420560235569,90.0398967175319,7.95205377636584
"DAB_583",724.485395271921,743.557935239421,24.5973894431884,24.4006656059279,100.319907706847,9.41902707959162
"DAB_584",677.826944210499,828.02776598347,23.5464962797889,22.29118239679,81.4013337210425,8.06471426196931
"DAB_585",603.079083837896,680.103073454924,27.2114509017593,22.1455975127401,85.6993522787252,9.26769804958455
"DAB_586",783.668469346959,863.36887698946,25.7693330163132,22.2712388236231,109.938865385558,9.59813173024436
"DAB_587",792.036684661007,801.836138650023,28.8108244625301,22.549930714363,142.463763420758,12.2387869071468
"DAB_588",714.691650195922,792.716946703768,26.0576592609939,20.0220987401325,100.022502693575,10.6412401275955
"DAB_589",727.046817714277,842.700445266424,20.7710721279041,21.5916631862596,78.6556288613494,7.78987590273975
"DAB_591",884.640034206649,1006.51831219784,30.7586336531917,24.846709849424,161.999544946509,10.989488238407
"DAB_592",865.453688275957,852.411673106244,23.7486107117209,23.0460666886837,116.257650417015,10.8164833206376
"DAB_593",778.11384071558,775.080489458301,21.4227565735497,22.2168266865458,106.549740488897,8.40251405202051
"DAB_594",1012.82403484004,1159.39888447065,29.4056839763246,25.2956147047618,176.851760946013,12.722833239249
"DAB_596",938.205836774759,1056.40112084062,24.6485891676608,25.1687742787955,148.746391407023,10.6865007927964
"DAB_597",917.210392834044,966.368818986137,27.3526998160841,25.402812584193,153.996120621551,12.5021585078244
"DAB_598",1172.28678071811,1111.57023144592,28.1977579599899,26.700330239017,184.970232671112,12.6796797353287
"DAB_600",692.648761476298,705.472042742309,21.1769515608473,25.1587308489585,87.8825139576372,7.62211800535621
"DAB_602",578.246634580358,790.8469774972,14.2655733888859,24.2266744700719,36.86576812632,2.70143474858053
"DAB_603",571.234641178577,643.571467048433,29.3793576495238,19.0620798594904,80.8601250831608,7.62589447818798
"DAB_604",724.402559330902,838.172665856766,30.5896924468869,24.0603655053597,119.418642852293,10.2757505036088
"DAB_605",668.217274305234,787.354021014546,30.1240140042916,24.863517435908,111.420708119507,9.63061993130712
"DAB_606",435.524011985495,522.449348612453,32.411434449229,19.5337572957673,69.3583892114428,6.75186180161853
"DAB_607",569.259933801696,646.384757690367,31.9632336982657,24.0460898106857,95.5807642160096,9.28246283687497
"DAB_609",615.771518165437,681.155369789176,23.4004587371003,21.3953878078542,70.3079194483665,6.43877941195505
"DAB_610",630.001976109194,726.280749278191,20.4756013149563,23.970111434319,37.6094552409745,3.43445285319648
"DAB_612",669.539067469097,779.13914110129,22.3076161429783,24.967731137744,82.3222053837532,7.54740470663462
"DAB_614",801.374239341933,1004.33614898116,32.5946941005775,24.5340600587867,170.965507122188,12.7563851021727
"DAB_615",809.34069288064,892.260254392116,32.8155657184041,24.2273712067104,171.173425346167,13.5619657215796
"DAB_616",836.803445804354,959.98163740881,18.6440845627828,21.4643385579837,79.0250812005373,8.004746471363
"DAB_617",831.966900598532,974.632143030339,27.0636126717913,23.0597035702227,136.465389421913,10.3586927606795
"DAB_619",725.029681135748,846.161977969564,33.003839853516,23.6264018399949,145.619955546049,10.5698957848724
"DAB_621",943.527393652557,1008.12556218321,27.8939917254601,25.6289737248501,166.567838781152,12.8953002027143
"DAB_622",790.033436972873,852.059356579868,28.0194572232086,26.3004171212281,130.488529919367,11.135004736614
"DAB_624",866.656103462449,914.108961063036,26.5664067152211,24.367560732459,134.804345546873,10.3044571024698
"DAB_625",771.318435480114,841.785372710283,23.6361012260123,25.5378524018334,103.637355322673,9.21420644458222
"DAB_628",915.609105806158,1047.89630425154,31.2136709357621,27.828816320184,187.006306054024,11.7212536629109
"DAB_629",712.307190228495,855.744027479973,25.7426217971152,24.8741002061923,115.568984584867,8.58096147958851
"DAB_630",969.974818178777,1034.95473556441,26.976422240114,24.2783224863887,149.979493976319,11.3847276134339
"DAB_633",618.467324238161,718.021243535558,30.4752992341552,22.5685864098315,100.781092429691,8.82636816403898
"DAB_900",977.993355365388,1046.35205417058,26.713213098891,22.4184188528613,157.578700597424,11.1093731617384
"DAB_901",711.526843360949,893.255968491231,27.473507915448,21.7730276225943,105.778397566356,9.32838243044675
